#TYPE Selected.System.Management.ManagementObject,,
Name,Version,Vendor
Office 16 Click-to-Run Extensibility Component,16.0.14931.20393,Microsoft Corporation
Office 16 Click-to-Run Localization Component,16.0.13801.21334,Microsoft Corporation
Office 16 Click-to-Run Licensing Component,16.0.14931.20604,Microsoft Corporation
Microsoft Visio Viewer 2016,16.0.4339.1001,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.32.31332,14.32.31332,Microsoft Corporation
SQL Server Management Studio for Reporting Services,15.0.18424.0,Microsoft Corporation
Citrix WorkSpace Browser,22.3.2.1,"Citrix Systems, Inc."
Microsoft Power BI Desktop (x64),2.106.883.0,Microsoft Corporation
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660,12.0.40660,Microsoft Corporation
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219,10.0.40219,Microsoft Corporation
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219,10.0.40219,Microsoft Corporation
Dell ControlVault Host Components Installer 64 bit,5.9.8.17,Broadcom Limited
Citrix Workspace(USB),22.3.500.50,"Citrix Systems, Inc."
SecureAuthMSI64,5.0.0,SecureAuth Corporation
Configuration Manager Client,5.00.9068.1000,Microsoft Corporation
IBM Data Server Client - DB2COPY1,11.1.4060.1327,IBM
Cisco AnyConnect Diagnostics and Reporting Tool,4.9.04053,"Cisco Systems, Inc."
Cisco AnyConnect Secure Mobility Client,4.10.01075,"Cisco Systems, Inc."
CyberArk Endpoint Privilege Manager Agent,11.5.1291,CyberArk Software Ltd
MDOP MBAM,2.5.1152.0,Microsoft Corporation
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.32.31332,14.32.31332,Microsoft Corporation
SecureAuthMSI,5.0.0,SecureAuth Corporation
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660,12.0.40660,Microsoft Corporation
Citrix Workspace Inside,22.4.1.23,"Citrix Systems, Inc."
Microsoft OLE DB Driver for SQL Server,18.5.0.0,Microsoft Corporation
Citrix Authentication Manager,22.3.2.4,"Citrix Systems, Inc."
Intel(R) ME WMI Provider,1.0.0.0,Intel Corporation
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.32.31332,14.32.31332,Microsoft Corporation
AgentInstall-x64_15_8,15.8.00000.19012,Symantec Corp.
Citrix Workspace(SSON),22.4.1.30,"Citrix Systems, Inc."
Microsoft Help Viewer 2.3,2.3.28307,Microsoft Corporation
CrowdStrike Firmware Analysis,6.32.14651.0,"CrowdStrike, Inc."
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161,9.0.30729.6161,Microsoft Corporation
Adobe Acrobat Reader DC,22.001.20169,Adobe Systems Incorporated
